                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Bobby Ojeda*            TEW    sp  30   0   0  .000   0  .000   0   0   0  .000  23   0   0   99.8  .672 
Gregg Olson             CEN    mr  21   0   0  .000   0  .000   0   0   0  .000   2   0   0  102.0  .520 
Steve Ontiveros         BMB    sp  27   0   0  .000   0  .000   2   2   1  .500  19  11   3   45.8  .637 
Jesse Orosco*           ES?    mr  31  28  20  .714   7  .250   3  29  10  .345  49  49  30   18.5  .584 
Vincente Palacios       BMB    sp  24   4   2  .500   2  .500   1  19   4  .211  23  23  16   20.5  .559 
Donn Pall               MAR    mr  26   0   0  .000   0  .000   0   6   3  .500   8   8   1   23.9  .717 
David Palmer            EVN    sp  30   0   0  .000   0  .000   0   0   0  .000   1   0   0   82.0  .549 
Jeff Parrett            NFG    mr  26   6   4  .667   2  .333   1  33  16  .485  43  43  16   24.0  .591 
Ken Patterson*          CCC    mr  23   0   0  .000   0  .000   1  14   3  .214  18  18  10   17.2  .632 
Alejandro Pena          CIN    mr  29  14   9  .643   5  .357   8  30   8  .267  71  71  31   20.9  .643 
Hipolito Pena*          CTW    mr  24   1   1 1.000   0  .000   0   3   0  .000   7   7   5   19.4  .625 
Melido Perez            FER    sp  22   0   0  .000   0  .000   1   5   3  .600  30   5   4   79.3  .622 
Pascual Perez           SUN    sp  31   0   0  .000   0  .000   0   0   0  .000  19   0   0  107.1  .630 
Pat Perry*              NFG    mr  29   0   0  .000   0  .000   0   0   0  .000   8   2   2   83.1  .618 
Jeff Pico               TEW    mr  22   9   4  .444   2  .222  13  28   9  .321  59  59  18   23.6  .621 
Dan Plesac*             FER    cl  26   3   2  .667   1  .333   4  10   1  .100  30  30  11   19.3  .633 
Eric Plunk              FER    mr  24   1   1 1.000   0  .000   2  35  11  .314  42  42  21   23.7  .623 
Mark Portugal           NFG    mr  25   1   0  .000   0  .000   0   3   2  .667  12   4   2   73.6  .593 
Ted Power               BMB    sp  33   0   0  .000   0  .000   0   4   1  .250  20   3   1   75.9  .630 
Joe Price*              RYK    mr  31   5   1  .200   2  .400   5  22   7  .318  51  51  21   20.7  .630 
Charlie Puleo           FER    mr  33   6   4  .667   2  .333   2   7   3  .429  28  22  12   37.7  .570 
Dan Quisenberry         NFG    mr  35  19  13  .684   5  .263   1  30  10  .333  48  48  30   19.8  .676 
Dennis Rasmussen*       MAR    sp  29   0   0  .000   0  .000   0   0   0  .000  32   0   0   93.9  .640 
Shane Rawley*           GBP    sp  32   1   1 1.000   0  .000   0   3   0  .000   4   4   4   13.3  .547 
Jeff Reardon            CTW    cl  32  29  24  .828   5  .172   1  19   7  .368  53  52  39   19.5  .676 
Jerry Reed              CTW    mr  32   0   0  .000   0  .000   1   7   0  .000  13  13   5   22.5  .610 
Jerry Reed              EVN    mr  32   0   0  .000   0  .000   0   0   0  .000  11   0   0   93.2  .601 
Jerry Reed                     mr  32   0   0  .000   0  .000   1   7   0  .000  24  13   5   54.9  .603 
Rick Reed               TEW    sp  22   1   0  .000   0  .000   0   3   0  .000   5   5   1   31.8  .660 
Rick Reuschel           RYK    sp  39   0   0  .000   0  .000   0   0   0  .000  34   0   0   86.1  .673 
Jerry Reuss*            FHK    sp  39   0   0  .000   0  .000   0   0   0  .000  23   0   0   90.9  .674 
Dave Righetti*          BAR    cl  29   1   0  .000   0  .000   0  19   7  .368  27  27   0   28.7  .606 
Jose Rijo               GBP    mr  23   0   0  .000   0  .000   0   0   0  .000  24   0   0  100.0  .620 
Wally Ritchie*          CTW    mr  22   0   0  .000   0  .000   0   1   0  .000   6   2   0   65.7  .538 
Don Robinson            TEW    mr  31   0   0  .000   0  .000   0   2   0  .000  30   1   1   93.1  .634 
Jeff Robinson           EVN    mr  27   2   2 1.000   0  .000   1  20   5  .250  52  52  19   21.8  .628 
Jeff M. Robinson        CEN    sp  26   0   0  .000   0  .000   0   0   0  .000  27   0   0  104.3  .629 
Ron Robinson            SUN    sp  26   0   0  .000   0  .000   2   3   1  .333  16   5   0   71.8  .644 
Bruce Ruffin*           BMB    mr  24   0   0  .000   0  .000   0   1   1 1.000  25   1   0   92.0  .611 
Jeff Russell            ES?    sp  26   1   1 1.000   0  .000   0   4   1  .250  31  13   8   68.1  .621 
Nolan Ryan              ES?    sp  41   0   0  .000   0  .000   0   0   0  .000  33   0   0   96.6  .630 
Bret Saberhagen         BBG    sp  24   0   0  .000   0  .000   0   0   0  .000  31   0   0   91.5  .668 
Roger Samuels*          CIN    mr  27   2   1  .500   1  .500   0   5   2  .400   8   8   6   18.0  .625 
Israel Sanchez*         MAR    mr  24   8   5  .625   3  .375   3   9   1  .111  29  29  16   19.4  .612 
Scott Sanderson         CCC    mr  31   4   4 1.000   0  .000   0   5   0  .000  12  12   7   17.3  .686 
Rich Sauveur*           NFG    mr  24   0   0  .000   0  .000   0   0   0  .000   1   0   0  100.0  .650 
Dan Schatzeder*         BMB    mr  33   1   0  .000   1 1.000   0  10   9  .900  24  24   5   17.8  .685 
Curt Schilling          BAR    sp  21   0   0  .000   0  .000   0   2   0  .000  12  11   9   24.4  .573 
Calvin Schiraldi        TEW    sp  26   0   0  .000   0  .000   0  34   9  .265  43  43  12   26.3  .613 
Dave Schmidt            FHK    mr  31   0   0  .000   0  .000   0   1   0  .000   3   3   1    7.0  .857 
Mike Schooler           NEE    cl  25  17  12  .706   5  .294   4  36  11  .306  53  53  27   16.7  .600 
Mike Scott              BBG    sp  33   0   0  .000   0  .000   0   0   0  .000  34   0   0   97.9  .649 
Scott Service           NEE    mr  21   0   0  .000   0  .000   0   0   0  .000   2   0   0   80.5  .578 
Jeff Shaver             CTW    mr  24   0   0  .000   0  .000   0   0   0  .000   1   0   0   98.0  .653 
Steve Shields           BMB    mr  29   5   2  .400   2  .400   2  42  20  .476  49  49  20   24.9  .632 
Eric Show               SUN    sp  32   0   0  .000   0  .000   0   0   0  .000  28   0   0  101.6  .660 
John Smiley*            EVN    sp  23   0   0  .000   0  .000   0   0   0  .000  29   0   0   91.0  .644 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age SVO   S   SV%  BS   BS% HLD  IR IRS   IR%   G  GR  GF  PCH/G  STR% 
Bryn Smith              EVN    sp  32   0   0  .000   0  .000   0   0   0  .000  24   0   0   94.8  .658 
Dave Smith              BMB    cl  33   6   1  .167   5  .833   7  28   6  .214  50  50  15   18.7  .608 
Lee Smith               BAR    cl  30  20  16  .800   4  .200   7  33  13  .394  66  66  35   22.4  .636 
Mike Smith              BAR    mr  27   3   0  .000   3 1.000   2   5   3  .600   6   6   1   27.2  .595 
Pete Smith              MAR    sp  22   0   0  .000   0  .000   0   0   0  .000  22   0   0   96.9  .606 
Roy Smith               CEN    sp  26   3   3 1.000   0  .000   6  10   3  .300  26  26   9   21.0  .609 
Zane Smith*             FER    sp  27   3   2  .667   1  .333   0   6   3  .500  31  16   5   54.7  .631 
Zane Smith*             NFG    sp  27   0   0  .000   0  .000   0   0   0  .000   1   1   1    1.0 1.000 
Zane Smith*                    sp  27   3   2  .667   1  .333   0   6   3  .500  32  17   6   53.1  .631 
Mike Smithson           GBP    sp  33   0   0  .000   0  .000   0   0   0  .000   5   0   0   74.4  .669 
John Smoltz             BMB    sp  21   0   0  .000   0  .000   0   0   0  .000  13   0   0   92.1  .581 
Julio Solano            CTW    mr  28   1   1 1.000   0  .000   0   2   0  .000   3   3   3   16.7  .720 
Mario Soto              CIN    sp  31   0   0  .000   0  .000   0   0   0  .000   7   0   0   87.9  .631 
Bob Stanley             CTW    mr  33   3   3 1.000   0  .000   1   7   1  .143  19  19  15   23.5  .655 
Bob Stanley             EVN    mr  33   1   0  .000   1 1.000   6  25  12  .480  48  48  23   19.0  .631 
Bob Stanley                    mr  33   4   3  .750   1  .250   7  32  13  .406  67  67  38   20.3  .639 
Dave Stewart            MAR    sp  31   0   0  .000   0  .000   0   2   1  .500  35   1   1  101.7  .612 
Dave Stieb              EVN    sp  30   0   0  .000   0  .000   0   0   0  .000  30   0   0  100.4  .617 
Todd Stottlemyre        CCC    sp  23   1   0  .000   1 1.000   3   2   1  .500  24   7   1   71.1  .594 
Rick Sutcliffe          NFG    sp  32   0   0  .000   0  .000   0   0   0  .000  26   0   0   96.8  .644 
Bruce Sutter            TEW    cl  35   0   0  .000   0  .000   0   4   0  .000   3   3   1   13.3  .600 
Billy Swift             NFG    sp  26   6   3  .500   3  .500   6  26   2  .077  56  46  24   36.5  .608 
Greg Swindell*          CCC    sp  23   0   0  .000   0  .000   0   0   0  .000   7   0   0   91.4  .667 
Greg Swindell*          CEN    sp  23   0   0  .000   0  .000   0   0   0  .000  24   0   0  108.0  .692 
Greg Swindell*                 sp  23   0   0  .000   0  .000   0   0   0  .000  31   0   0  104.3  .687 
Frank Tanana*           CCC    sp  34   4   4 1.000   0  .000   0   4   0  .000  32   5   5   80.8  .638 
Kent Tekulve            NEE    mr  41  11   7  .636   1  .091  11  32  10  .313  64  64  30   14.9  .677 
Walt Terrell            FER    sp  30   1   1 1.000   0  .000   1   7   1  .143   7   7   1   17.1  .525 
Scott Terry             SUN    mr  28   3   2  .667   1  .333   9  16   5  .313  60  60  27   19.5  .627 
Bob Tewksbury           FHK    sp  27   0   0  .000   0  .000   0   0   0  .000   1   0   0   76.0  .592 
Bobby Thigpen           GBP    cl  24  35  26  .743   9  .257   3  32   4  .125  69  69  46   16.9  .604 
Mark Thurmond*          CCC    mr  31   2   0  .000   0  .000   0  11   7  .636  15  15   7   15.5  .677 
Jay Tibbs               BMB    sp  26   0   0  .000   0  .000   0   0   0  .000  14   0   0   88.3  .628 
Fred Toliver            MAR    sp  27   0   0  .000   0  .000   0   0   0  .000   2   2   1   26.5  .566 
Steve Trout*            FER    sp  30   2   0  .000   2 1.000   0   0   0  .000  14   3   0   69.9  .593 
John Tudor*             BAR    sp  34   0   0  .000   0  .000   0   0   0  .000  30   0   0   84.2  .673 
Fernando Valenzuela*    NFG    sp  27   0   0  .000   0  .000   0   3   1  .333  20   7   4   70.8  .568 
Ed Vande Berg*          NEE    mr  29   0   0  .000   0  .000   0   3   3 1.000   7   1   1   87.4  .637 
Frank Viola*            CTW    sp  28   0   0  .000   0  .000   0   0   0  .000  34   0   0  106.0  .662 
Bob Walk                CTW    sp  31   0   0  .000   0  .000   0   0   0  .000  32   0   0  101.9  .629 
Duane Ward              FER    mr  24   9   5  .556   4  .444   9  36  18  .500  60  60  20   24.2  .594 
Bill Wegman             CCC    sp  25   0   0  .000   0  .000   0   0   0  .000  29   0   0   98.9  .654 
Bob Welch               CIN    sp  31   0   0  .000   0  .000   0   0   0  .000  27   0   0   96.6  .634 
David Wells*            BAR    mr  25   0   0  .000   0  .000   0   0   0  .000  17   0   0   67.5  .612 
David West*             BMB    sp  23   0   0  .000   0  .000   1   7   4  .571   6   6   2   25.3  .546 
Ed Whitson              GBP    sp  33   0   0  .000   0  .000   0   0   0  .000  28   0   0   91.7  .639 
Bill Wilkinson*         NEE    mr  23   9   4  .444   4  .444   2  13   4  .308  24  24   9   21.4  .597 
Frank Williams          FHK    mr  30   0   0  .000   0  .000   0  15   6  .400  28  28  13   19.0  .576 
Mitch Williams*         NFG    cl  23   7   4  .571   3  .429   2  24   7  .292  31  27  18   32.5  .549 
Mark Williamson         BAR    mr  28   0   0  .000   0  .000   0   0   0  .000  23   0   0   86.4  .639 
Carl Willis             BAR    mr  27   0   0  .000   0  .000   0   0   0  .000   3   0   0   58.3  .600 
Steve Wilson*           BMB    mr  23   0   0  .000   0  .000   0   5   3  .600   3   3   0   42.3  .543 
Trevor Wilson*          NEE    sp  22   0   0  .000   0  .000   0   0   0  .000   4   0   0   89.3  .591 
Bobby Witt              FER    sp  24   0   0  .000   0  .000   1   1   0  .000  24   4   0   92.9  .589 
Mike Witt               TEW    sp  27   0   0  .000   0  .000   0   0   0  .000  27   0   0  108.7  .629 
Todd Worrell            RYK    cl  28  37  28  .757   9  .243   0  33   7  .212  53  53  38   17.5  .655 
Floyd Youmans           EVN    sp  24  29  18  .621   9  .310   2  18   4  .222  55  55  30   18.8  .589 

