                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/11/1999  CIN     Erickson            Promoted to active roster                          Before   
9/11/1999  CIN     Weaver,J            Demoted to reserve roster                          Before   
9/11/1999  FFR     Holmes              Demoted to reserve roster                          Before   
9/11/1999  FFR     Lilly               Demoted to reserve roster                          Before   
9/10/1999  NEP     Hernandez,O         Demoted to reserve roster                          Before   
9/10/1999  NEP     Myers,M             Promoted to active roster                          Before   
9/10/1999  NNN     Hollandsworth       Demoted to reserve roster                          Before   
9/10/1999  TAR     Allen               Promoted to active roster                          Before   
9/10/1999  TAR     Bones               Promoted to active roster                          Before   
9/10/1999  TAR     Joyner              Demoted to reserve roster                          Before   
9/10/1999  TAR     Joyner              Promoted to active roster                          Before   
9/10/1999  TAR     Joyner              Promoted to active roster                          Before   
9/10/1999  TAR     Peters              Promoted to active roster                          Before   
9/10/1999  TAR     Sheets              Promoted to active roster                          Before   
9/10/1999  TAR     Sorrento            Promoted to active roster                          Before   
9/10/1999  TAR     Webster             Promoted to active roster                          Before   
9/10/1999  TAR     White,Ro            Demoted to reserve roster                          Before   
9/10/1999  TAR     Wilson,E            Promoted to active roster                          Before   
9/9/1999   BAR     Cornelius           Demoted to reserve roster                          Before   
9/9/1999   BAR     Daubach             Promoted to active roster                          Before   
9/9/1999   BAR     Ibanez              Demoted to reserve roster                          Before   
9/9/1999   BAR     Jones,J             Promoted to active roster                          Before   
9/9/1999   BAR     Reyes,D             Promoted to active roster                          Before   
9/9/1999   DLM     Martin,T            Demoted to reserve roster                          Before   
9/9/1999   DLM     Valdes              Activated from disabled list                       Before   
9/9/1999   FDH     Bautista            Demoted to reserve roster                          Before   
9/9/1999   FDH     Farnsworth          Promoted to active roster                          Before   
9/9/1999   FDH     Fick                Promoted to active roster                          Before   
9/9/1999   FDH     Manzanillo          Promoted to active roster                          Before   
9/9/1999   FDH     Politte             Demoted to reserve roster                          Before   
